ticket_id,status,priority,source,ticket_group,created_time,resolved_time,initial_time,agent_interactions,customer_interactions,type,course,user_id,agent_id
,Closed,Urgent,Email,Student Records,2018-03-02 14:37:00,2018-03-02 15:41:00,2018-03-02 14:55:00,3,2,Student Records Task,NA,2097,2
,Closed,Urgent,Email,Student Records,2018-03-30 04:44:00,2018-04-03 08:43:00,2018-04-03 08:42:00,1,1,Student Records Task,NA,60,2
,Closed,Urgent,Email,Student Records,2018-03-01 03:32:00,2018-03-03 17:25:00,2018-03-01 09:24:00,2,2,Student Records Task,NA,1160,2
,Closed,Urgent,Email,Student Records,2018-03-12 22:39:00,2018-03-14 07:17:00,2018-03-13 07:51:00,2,2,Student Records Task,NA,790,2
,Closed,Urgent,Email,Student Records,2018-03-21 13:27:00,2018-03-28 16:23:00,2018-03-21 18:34:00,4,3,Student Records Query,UCT-GD-2018-03-12,1273,2
2041424,Closed,Low,Email,Student Records,2018-03-11 04:17:00,2018-03-12 07:41:00,2018-03-12 07:31:00,2,1,Student Records Task,NA,153,2
2092628,Closed,Urgent,Email,Student Records,2018-03-20 09:57:00,2018-03-22 12:22:00,2018-03-20 16:12:00,2,2,NetVerify,NA,1105,2
2009932,Closed,Urgent,Email,Student Records,2018-03-05 23:14:00,2018-03-07 13:36:00,2018-03-05 23:21:00,3,2,Student Records Task,NA,3371,2
1995926,Closed,Urgent,Email,Student Records,2018-03-03 18:46:00,2018-03-12 14:38:00,2018-03-03 19:46:00,4,2,NetVerify,NA,494,2
2100857,Closed,Low,Email,Student Records,2018-03-21 14:09:00,2018-03-22 08:19:00,2018-03-22 08:17:00,1,1,Student Records Query,NA,265,2
2126149,Closed,Low,Email,Student Records,2018-03-26 14:18:00,2018-03-26 16:51:00,2018-03-26 16:21:00,2,1,Student Records Task,NA,1978,2
2072361,Resolved,Urgent,Email,Student Records,2018-03-16 07:28:00,2018-03-19 07:55:00,2018-03-16 16:38:00,4,2,Student Records Task,NA,794,2
2140970,Closed,Urgent,Email,Student Records,2018-03-28 17:26:00,2018-04-03 07:39:00,2018-03-29 07:58:00,2,2,NetVerify,NA,406,2
2097337,Closed,Urgent,Portal,Student Records,2018-03-20 20:12:00,2018-03-22 08:49:00,2018-03-20 22:37:00,3,1,Student Records Task,NA,1838,2
2141174,Closed,Low,Email,Student Records,2018-03-28 17:41:00,2018-03-29 08:15:00,2018-03-29 08:15:00,1,1,NetVerify,NA,402,2
2004807,Closed,Low,Email,Student Records,2018-03-05 08:00:00,2018-03-05 08:15:00,2018-03-05 08:03:00,2,1,Student Records Task,NA,3214,2
2063576,Closed,Low,Email,Student Records,2018-03-14 16:29:00,2018-03-14 16:52:00,2018-03-14 16:51:00,2,2,Student Records Task,NA,2899,2
2067899,Closed,Low,Email,Student Records,2018-03-15 11:30:00,2018-03-16 08:26:00,2018-03-16 01:36:00,3,1,Student Records Task,NA,448,2
2009648,Closed,Urgent,Email,Student Records,2018-03-05 18:49:00,2018-03-06 11:26:00,2018-03-06 08:11:00,3,2,Student Records Task,NA,484,2
2139712,Closed,Low,Email,Student Records,2018-03-28 13:57:00,2018-03-29 07:43:00,2018-03-28 21:17:00,2,1,Student Records Task,NA,965,2
2145233,Closed,Low,Email,Student Records,2018-03-29 11:50:00,2018-03-29 11:55:00,2018-03-29 11:53:00,1,1,Student Records Task,USB,3487,2
1981159,Closed,Low,Email,Student Records,2018-03-01 17:26:00,2018-03-02 10:03:00,2018-03-02 07:58:00,2,1,Student Records Task,NA,408,2
2028858,Closed,Urgent,Email,Student Records,2018-03-08 13:58:00,2018-03-09 12:37:00,2018-03-08 14:58:00,3,2,Student Records Task,NA,2423,2
2023992,Closed,Low,Email,Student Records,2018-03-07 17:26:00,2018-03-08 07:56:00,2018-03-08 07:32:00,2,1,Student Records Task,NA,447,2
2145112,Closed,Urgent,Email,Student Records,2018-03-29 11:36:00,2018-03-29 12:02:00,2018-03-29 12:01:00,1,1,Student Records Task,NA,2722,2
2132551,Closed,Urgent,Email,Student Records,2018-03-27 13:52:00,2018-05-02 14:24:00,2018-03-27 14:04:00,3,3,Student Records Task,USB,3171,2
2140959,Closed,Low,Email,Student Records,2018-03-28 17:20:00,2018-03-29 07:47:00,2018-03-29 07:46:00,1,1,NetVerify,NA,417,2
2031822,Closed,Low,Email,Student Records,2018-03-09 02:31:00,2018-03-09 08:51:00,2018-03-09 02:48:00,3,2,Student Records Task,HAR-CYB-2017-11-27,3043,2
2149004,Closed,Urgent,Email,Student Records,2018-03-30 15:08:00,2018-04-04 07:31:00,2018-04-03 08:47:00,1,2,NetVerify,NA,66,2
2107152,Closed,Urgent,Email,Student Records,2018-03-22 13:19:00,2018-04-04 14:53:00,2018-03-23 09:23:00,4,4,Student Records Task,NA,214,2
2094130,Closed,Medium,Email,Student Records,2018-03-20 13:16:00,2018-03-20 15:07:00,2018-03-20 13:56:00,3,3,Student Records Task,NA,2602,2
2064191,Resolved,Low,Email,Student Records,2018-03-14 17:57:00,2018-03-15 11:49:00,2018-03-15 07:22:00,2,1,Student Records Task,NA,481,2
2023898,Closed,Urgent,Email,Student Records,2018-03-07 17:00:00,2018-03-08 12:49:00,2018-03-07 17:02:00,4,3,Student Records Task,HAR-CYB-2017-11-27,3520,2
2026111,Closed,Urgent,Email,Student Records,2018-03-08 02:18:00,2018-03-13 07:47:00,2018-03-08 02:20:00,9,8,Student Records Task,NA,3519,2
2141278,Closed,Low,Email,Student Records,2018-03-28 18:23:00,2018-03-29 08:31:00,2018-03-29 08:30:00,1,1,NetVerify,NA,444,2
2127680,Closed,Urgent,Email,Student Records,2018-03-26 18:09:00,2018-03-27 11:37:00,2018-03-27 01:37:00,3,2,Student Records Task,NA,954,2
2148720,Closed,Urgent,Email,Student Records,2018-03-29 23:35:00,2018-04-03 15:53:00,2018-04-03 08:08:00,3,4,NetVerify,NA,57,2
2148905,Closed,Urgent,Email,Student Records,2018-03-30 10:46:00,2018-04-03 08:48:00,2018-04-03 08:45:00,1,2,NetVerify,NA,65,2
2052133,Closed,Urgent,Email,Student Records,2018-03-13 10:02:00,2018-03-14 10:00:00,2018-03-13 10:55:00,3,2,NetVerify,MIT-AI-2018-02-28,37,2
140970,Resolved,Low,Email,Student Records,2018-03-28 17:26:00,2018-03-29 08:00:00,2018-03-29 07:58:00,1,1,NetVerify,NA,406,2
118665,Open,Low,Email,Student Records,2018-03-24 20:35:00,,2018-03-25 00:59:00,1,2,,NA,1397,2
2068054,Closed,Urgent,Email,Student Records,2018-03-15 12:19:00,2018-03-15 16:17:00,2018-03-15 15:17:00,3,2,Student Records Task,UCT-IVM-2018-02-05,1699,2
2016170,Closed,Urgent,Email,Student Records,2018-03-06 16:46:00,2018-03-07 07:56:00,2018-03-06 16:55:00,2,2,Student Records Task,NA,3264,2
2139090,Closed,Low,Email,Student Records,2018-03-28 11:45:00,2018-03-28 11:49:00,2018-03-28 11:49:00,1,1,Student Records Task,USB,3476,2
,Resolved,Urgent,Email,Student Records,2018-03-12 16:13:00,2018-03-12 17:26:00,2018-03-12 16:25:00,3,2,Student Records Task,NA,37,2
,Closed,Low,Email,Student Records,2018-03-02 12:19:00,2018-03-02 14:14:00,2018-03-02 12:59:00,2,1,Student Records Task,NA,1873,2
,Closed,Urgent,Email,Student Records,2018-03-08 12:31:00,2018-03-08 12:48:00,2018-03-08 12:48:00,1,1,Student Records Task,NA,2722,2
,Closed,Urgent,Email,Student Records,2018-03-04 18:37:00,2018-03-12 11:15:00,2018-03-04 21:25:00,4,5,NetVerify,OXF-BCH-2018-02-28,1314,2
,Closed,Low,Email,Student Records,2018-03-02 16:52:00,2018-03-02 17:01:00,2018-03-02 17:01:00,1,1,Student Records Task,NA,3271,2
,Closed,Low,Email,Student Records,2018-03-28 12:51:00,2018-03-28 13:26:00,2018-03-28 13:13:00,2,1,Student Records Task,NA,2896,2
,Closed,Low,Email,Student Records,2018-03-05 17:31:00,2018-03-06 08:09:00,2018-03-06 08:02:00,2,1,Student Records Task,NA,410,2
,Closed,Urgent,Email,Student Records,2018-03-31 13:27:00,2018-04-05 16:10:00,2018-03-31 13:32:00,4,4,Student Records Task,OXF-FIN-2018-03-28,3432,2
,Closed,Low,Email,Student Records,2018-03-05 06:29:00,2018-03-05 12:00:00,2018-03-05 06:30:00,2,1,NetVerify,MIT-AI-2018-02-28,3532,2
,Closed,Urgent,Email,Student Records,2018-03-03 14:56:00,2018-05-14 09:43:00,2018-03-03 16:44:00,8,10,NetVerify,OXF-FIN-2018-02-28,1742,2
2108413,Closed,Urgent,Email,Student Records,2018-03-22 15:02:00,2018-03-22 16:47:00,2018-03-22 15:19:00,2,3,Student Records Task,OXF-BCH-2018-02-28,287,2
2141512,Closed,Urgent,Email,Student Records,2018-03-28 19:25:00,2018-04-03 07:34:00,2018-03-29 08:41:00,3,3,NetVerify,NA,351,2
2022979,Closed,Urgent,Email,Student Records,2018-03-07 14:35:00,2018-03-07 16:47:00,2018-03-07 14:58:00,4,5,Student Records Task,HAR-CYB-2017-11-27,2521,2
2034820,Closed,Low,Outbound Email,Student Records,2018-03-09 14:45:00,2018-03-09 14:45:00,,1,0,Student Records Task,NA,3681,2
2076409,Closed,Low,Email,Student Records,2018-03-17 00:27:00,2018-03-19 08:06:00,2018-03-19 07:28:00,2,1,Student Records Task,NA,96,2
2128375,Closed,Low,Email,Student Records,2018-03-26 20:44:00,2018-03-27 07:58:00,2018-03-26 23:19:00,2,1,Student Records Task,NA,1789,2
2141136,Closed,Low,Email,Student Records,2018-03-28 17:32:00,2018-03-29 08:04:00,2018-03-29 08:03:00,1,2,NetVerify,NA,361,2
2023852,Closed,Urgent,Email,Student Records,2018-03-07 16:50:00,2018-03-09 12:48:00,2018-03-07 17:18:00,3,2,NetVerify,OXF-FIN-2018-02-28,2794,2
2148216,Closed,Low,Email,Student Records,2018-03-29 20:31:00,2018-04-03 09:26:00,2018-04-03 09:26:00,1,1,Student Records Task,NA,54,2
2146101,Closed,Low,Email,Student Records,2018-03-29 14:10:00,2018-03-29 14:15:00,2018-03-29 14:13:00,1,1,Student Records Task,USB,1188,2
2006566,Closed,Urgent,Portal,Student Records,2018-03-05 12:19:00,2018-03-05 14:01:00,2018-03-05 13:10:00,2,2,NetVerify,NA,1393,2
2037983,Closed,Urgent,Email,Student Records,2018-03-10 07:10:00,2018-03-14 11:44:00,2018-03-10 07:16:00,4,3,Student Records Task,HAR-CYB-2017-11-27,3369,2
2148763,Closed,Low,Email,Student Records,2018-03-30 02:37:00,2018-04-03 09:41:00,2018-04-03 08:10:00,2,1,Student Records Task,NA,59,2
2106856,Closed,Urgent,Email,Student Records,2018-03-22 12:22:00,2018-03-23 12:10:00,2018-03-23 08:37:00,1,2,General Query,NA,207,2
2147446,Closed,Low,Email,Student Records,2018-03-29 17:48:00,2018-04-03 08:00:00,2018-04-03 07:59:00,1,1,NetVerify,NA,53,2
1976670,Closed,Low,Outbound Email,Student Records,2018-03-01 08:19:00,2018-03-01 08:38:00,,2,0,Student Records Task,UCT-GD-2017-08-07,3575,2
2141238,Closed,Low,Email,Student Records,2018-03-28 18:03:00,2018-03-29 08:28:00,2018-03-29 08:27:00,1,1,NetVerify,NA,420,2
2094576,Closed,Urgent,Email,Student Records,2018-03-20 14:04:00,2018-03-20 14:43:00,2018-03-20 14:36:00,1,2,Student Records Task,NA,2722,2
2095508,Closed,Urgent,Email,Student Records,2018-03-20 16:09:00,2018-03-20 16:36:00,2018-03-20 16:17:00,3,3,Student Records Task,UCT-DM-2017-01-30,3289,2
2149056,Closed,Urgent,Outbound Email,Student Records,2018-03-30 16:53:00,2018-04-04 15:23:00,2018-04-04 14:38:00,4,1,Student Records Task,MIT-AI-2018-02-28,48,2
2008285,Closed,Urgent,Email,Student Records,2018-03-05 15:39:00,2018-03-22 10:36:00,2018-03-05 15:43:00,5,4,Student Records Task,OXF-FIN-2017-11-27,3466,2
2016934,Closed,Urgent,Email,Student Records,2018-03-06 18:43:00,2018-03-07 12:29:00,2018-03-07 09:15:00,2,2,Student Records Task,NA,409,2
2093479,Closed,Low,Email,Student Records,2018-03-20 11:41:00,2018-03-20 15:18:00,2018-03-20 15:09:00,2,1,Student Records Task,NA,1583,2
2109547,Closed,Low,Phone,Student Records,2018-03-22 17:53:00,2018-03-23 08:11:00,2018-03-23 08:10:00,1,1,Student Records Task,MIT-IOT-2018-01-24,428,2
2139189,Closed,Urgent,Email,Student Records,2018-03-28 12:28:00,2018-04-19 16:41:00,2018-03-28 12:38:00,2,2,Student Records Task,USB,3239,2
2127223,Closed,Low,Email,Student Records,2018-03-26 16:43:00,2018-03-26 17:02:00,2018-03-26 16:50:00,2,1,Student Records Task,NA,3349,2
2141141,Closed,Low,Email,Student Records,2018-03-28 17:33:00,2018-03-29 08:12:00,2018-03-29 08:12:00,1,1,NetVerify,NA,398,2
1983584,Closed,Urgent,Portal,Student Records,2018-03-01 23:41:00,2018-03-02 15:45:00,2018-03-02 10:34:00,3,2,Student Records Task,NA,628,2
2105237,Closed,Low,Portal,Student Records,2018-03-22 10:33:00,2018-03-22 10:34:00,,0,1,Student Records Task,NA,3466,2
2141424,Closed,Low,Email,Student Records,2018-03-28 18:38:00,2018-03-29 08:33:00,2018-03-29 08:33:00,1,1,NetVerify,NA,462,2
2052171,Closed,Urgent,Email,Student Records,2018-03-13 10:22:00,2018-03-14 11:48:00,2018-03-13 11:38:00,3,3,Student Records Task,NA,2281,2
2042001,Resolved,Low,Email,Student Records,2018-03-11 07:20:00,2018-03-12 08:39:00,2018-03-12 08:31:00,2,1,Student Records Task,NA,164,2
2051171,Closed,Urgent,Email,Student Records,2018-03-12 22:01:00,2018-03-13 11:41:00,2018-03-13 07:49:00,2,2,Student Records Task,NA,733,2
2108395,Closed,Urgent,Email,Student Records,2018-03-22 14:58:00,2018-03-22 15:07:00,2018-03-22 15:07:00,1,1,Student Records Task,NA,2722,2
2135240,Closed,Low,Email,Student Records,2018-03-27 20:55:00,2018-03-28 08:02:00,2018-03-28 07:58:00,1,1,Student Records Task,USB,623,2
2061839,Closed,Urgent,Outbound Email,Student Records,2018-03-14 11:45:00,2018-04-23 16:22:00,2018-03-15 15:52:00,6,2,Student Records Task,NA,148,2
2027270,Closed,Urgent,Email,Student Records,2018-03-08 09:18:00,2018-03-08 14:47:00,2018-03-08 11:21:00,3,3,Student Records Task,UCT-PR-2018-02-22,1984,2
2032916,Resolved,Urgent,Email,Student Records,2018-03-09 09:17:00,2018-03-12 08:18:00,2018-03-09 10:33:00,3,5,Student Records Task,NA,2276,2
2128218,Closed,Urgent,Portal,Student Records,2018-03-26 20:15:00,2018-03-27 07:51:00,2018-03-27 04:31:00,2,NA,Student Records Task,NA,888,2
2013636,Closed,Low,Email,Student Success,2018-03-06 10:41:00,2018-03-06 11:15:00,,0,NA,Extension Request,UCT-HR-2018-02-19,3558,15
2020007,Closed,Low,Email,Student Success,2018-03-07 08:18:00,2018-03-07 08:36:00,,0,1,Extension Request,UCT-HRM-2018-01-22,37,15
1986803,Closed,Urgent,Email,Student Success,2018-03-02 11:23:00,2018-03-02 11:42:00,2018-03-02 11:38:00,1,2,Head Tutor Query,UCT-SCM-2018-02-26,3072,15
2007037,Closed,Low,Email,Student Success,2018-03-05 13:05:00,2018-03-05 14:10:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
2020312,Closed,Urgent,Email,Student Success,2018-03-07 09:13:00,2018-03-07 09:48:00,2018-03-07 09:16:00,2,2,Extension Request,UCT-OM-2018-02-26,3514,15
2005615,Closed,Urgent,Email,Student Success,2018-03-05 10:22:00,2018-03-05 10:39:00,2018-03-05 10:25:00,1,2,Other,UCT-HR-2018-02-19,1295,15
1994157,Closed,Urgent,Email,Student Success,2018-03-03 12:47:00,2018-03-04 09:20:00,2018-03-03 13:27:00,6,6,NetVerify,UCT-SM-2018-02-22,275,15
1980643,Closed,Low,Email,Student Success,2018-03-01 16:19:00,2018-03-01 17:24:00,2018-03-01 17:23:00,1,1,Quiz,UCT-HR-2018-02-19,37,15
1978419,Closed,Low,Email,Student Success,2018-03-01 11:47:00,2018-03-01 12:14:00,2018-03-01 12:14:00,1,1,Grades,HAR-CYB-2017-11-27,2812,15
1987028,Closed,Low,Email,Student Success,2018-03-02 11:39:00,2018-03-02 11:42:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
2013370,Closed,Low,Email,Student Success,2018-03-06 10:23:00,2018-03-06 10:33:00,2018-03-06 10:33:00,1,1,Grades,UCT-OM-2018-02-26,1182,15
37983,Closed,Low,Email,Student Success,2018-03-10 07:10:00,2018-03-12 09:00:00,2018-03-10 07:16:00,2,1,Certificates,HAR-CYB-2017-11-27,3369,15
2035192,Closed,Urgent,Email,Student Success,2018-03-09 15:38:00,2018-03-09 16:01:00,2018-03-09 15:55:00,1,2,Grades,UCT-HR-2018-02-19,1550,15
2007389,Closed,Low,Email,Student Success,2018-03-05 13:35:00,2018-03-05 14:14:00,,0,1,Discussion Forum,UCT-HR-2018-02-19,37,15
2020824,Closed,Urgent,Email,Student Success,2018-03-07 10:24:00,2018-03-07 12:24:00,2018-03-07 10:34:00,3,4,Extension Request,UCT-OM-2018-02-26,3230,15
2023520,Closed,Low,Email,Student Success,2018-03-07 16:17:00,2018-03-07 16:58:00,,0,1,Discussion Forum,UCT-HRM-2018-01-22,3558,15
2014601,Closed,Low,Email,Student Success,2018-03-06 13:17:00,2018-03-06 13:46:00,,0,1,Extension Request,UCT-HRM-2018-01-22,37,15
1989270,Closed,Low,Email,Student Success,2018-03-02 16:47:00,2018-03-02 16:54:00,,0,1,Extension Request,UCT-HR-2018-02-19,3558,15
2046665,Closed,Low,Email,Student Success,2018-03-12 08:20:00,2018-03-12 08:22:00,,0,1,Extension Request,UCT-SM-2018-01-25,37,15
2021861,Closed,Low,Email,Student Success,2018-03-07 12:21:00,2018-03-07 12:23:00,,0,1,Extension Request,UCT-OM-2018-02-26,37,15
2047615,Closed,Urgent,Email,Student Success,2018-03-12 10:58:00,2018-03-12 11:39:00,2018-03-12 11:33:00,1,2,HT Support Query,UCT-SM-2018-01-25,309,15
2028199,Open,Low,Email,Student Success,2018-03-08 12:00:00,,,0,1,Discussion Forum,NA,3558,15
2005525,Closed,Low,Email,Student Success,2018-03-05 09:58:00,2018-03-05 10:01:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
1979426,Closed,Urgent,Email,Student Success,2018-03-01 14:18:00,2018-03-01 16:31:00,2018-03-01 14:19:00,2,2,OLC Navigation,UCT-APM-2018-02-26,1056,15
2029637,Closed,Low,Email,Student Success,2018-03-08 16:29:00,2018-03-08 16:30:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
1988963,Closed,Low,Email,Student Success,2018-03-02 16:26:00,2018-03-02 16:28:00,2018-03-02 16:27:00,1,1,Welcome Interaction,UCT-APM-2018-02-26,828,15
2014081,Closed,Low,Email,Student Success,2018-03-06 11:44:00,2018-03-06 11:45:00,,0,1,Extension Request,UCT-ACC-2018-01-11,37,15
1985891,Closed,Low,Email,Student Success,2018-03-02 09:05:00,2018-03-02 09:10:00,,0,1,Discussion Forum,UCT-SCM-2018-02-26,3558,15
2020036,Closed,Low,Email,Student Success,2018-03-07 08:28:00,2018-03-07 08:35:00,,0,1,Extension Request,UCT-OM-2018-01-22,37,15
2025697,Closed,Urgent,Email,Student Success,2018-03-07 23:31:00,2018-03-09 08:27:00,2018-03-08 08:18:00,2,4,Other,HAR-CYB-2017-11-27,838,15
2009683,Closed,Low,Email,Student Success,2018-03-05 19:06:00,2018-03-06 08:19:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
2016289,Closed,Low,Email,Student Success,2018-03-06 17:06:00,2018-03-06 17:09:00,,0,1,Extension Request,UCT-OM-2018-01-22,3558,15
2038466,Closed,Urgent,Email,Student Success,2018-03-10 09:54:00,2018-03-12 10:26:00,2018-03-10 15:22:00,2,2,Grades,UCT-SCM-2018-02-26,1216,15
2009614,Closed,Low,Email,Student Success,2018-03-05 18:37:00,2018-03-06 08:18:00,,0,1,Discussion Forum,UCT-HRM-2018-01-22,37,15
2022652,Closed,Low,Email,Student Success,2018-03-07 13:55:00,2018-03-07 14:47:00,,0,1,Discussion Forum,UCT-HRM-2018-01-22,3558,15
1981616,Closed,Low,Email,Student Success,2018-03-01 18:16:00,2018-03-02 08:08:00,,0,1,Discussion Forum,UCT-HR-2018-01-22,37,15
2121537,Pending,Urgent,Email,ZA | SC | Student Performance,2018-03-25 17:30:00,,2018-04-08 03:45:00,1,1,Cancellations,NA,17,15
2042442,Closed,Urgent,Email,Student Success,2018-03-11 09:42:00,2018-03-12 10:32:00,2018-03-11 09:50:00,3,3,Head Tutor Query,UCT-HRM-2018-01-22,3316,15
2020316,Closed,Urgent,Email,Student Success,2018-03-07 09:14:00,2018-03-08 09:35:00,2018-03-07 09:18:00,3,3,Extension Request,UCT-HR-2018-01-22,3470,15
2007528,Closed,Urgent,Email,Student Success,2018-03-05 14:15:00,2018-03-05 15:36:00,,0,2,Discussion Forum,UCT-SCM-2018-02-26,3558,15
2023574,Closed,Low,Email,Student Success,2018-03-07 16:28:00,2018-03-07 16:41:00,,0,1,Discussion Forum,NA,37,15
2029751,Closed,Low,Email,Student Success,2018-03-08 16:30:00,2018-03-08 16:31:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
2024591,Closed,Low,Email,Student Success,2018-03-07 19:16:00,2018-03-08 08:28:00,2018-03-07 21:57:00,2,1,Grades,HAR-CYB-2017-11-27,1758,15
1978824,Closed,Low,Email,Student Success,2018-03-01 12:34:00,2018-03-01 13:45:00,,0,1,Extension Request,UCT-SM-2018-01-25,3558,15
2040322,Closed,Low,Email,Student Success,2018-03-10 19:28:00,2018-03-10 19:47:00,,0,1,,NA,1311,15
2047557,Closed,Low,Email,Student Success,2018-03-12 10:37:00,2018-03-12 10:42:00,,0,1,Extension Request,UCT-APM-2018-02-26,37,15
1987993,Closed,Low,Email,Student Success,2018-03-02 14:28:00,2018-03-02 14:51:00,2018-03-02 14:47:00,1,1,Extension Request,UCT-OM-2018-01-22,2977,15
2023136,Closed,Low,Email,Student Success,2018-03-07 15:23:00,2018-03-07 15:51:00,,0,1,Other,UCT-HRM-2018-01-22,3045,15
2013757,Closed,Urgent,Email,Student Success,2018-03-06 11:12:00,2018-03-06 11:27:00,2018-03-06 11:21:00,1,2,Other,UCT-OM-2018-02-26,3273,15
2028115,Closed,Low,Email,Student Success,2018-03-08 11:35:00,2018-03-08 11:44:00,,0,1,Extension Request,UCT-HRM-2018-01-22,3558,15
1981871,Closed,Low,Email,Student Success,2018-03-01 18:33:00,2018-03-02 08:28:00,,0,1,Discussion Forum,UCT-HRM-2018-01-22,37,15
1988941,Closed,Low,Email,Student Success,2018-03-02 16:21:00,2018-03-02 16:26:00,,0,1,Welcome Interaction,UCT-APM-2018-02-26,828,15
2046909,Closed,Urgent,Email,Student Success,2018-03-12 09:19:00,2018-03-12 17:19:00,2018-03-12 17:19:00,2,2,Assignment Upload,UCT-HR-2018-02-19,908,15
2016223,Closed,Low,Email,Student Success,2018-03-06 16:55:00,2018-03-06 17:07:00,,0,1,Discussion Forum,UCT-HR-2018-02-19,3558,15
2015626,Closed,Low,Email,Student Success,2018-03-06 15:38:00,2018-03-06 15:44:00,,0,1,Extension Request,UCT-HR-2018-02-19,37,15
1992728,Closed,Urgent,Email,Student Success,2018-03-03 06:56:00,2018-03-03 18:40:00,2018-03-03 07:10:00,2,5,Other,UCT-HRM-2018-02-19,37,15
1976920,Open,Low,Email,Student Success,2018-03-01 08:44:00,,,0,1,,NA,37,15
2016291,Closed,Low,Email,Student Success,2018-03-06 17:06:00,2018-03-06 17:08:00,,0,1,Extension Request,UCT-OM-2018-02-26,3558,15
1986280,Closed,Low,Email,Student Success,2018-03-02 10:00:00,2018-03-02 10:02:00,,0,1,Discussion Forum,UCT-HR-2018-01-22,37,15
2047119,Closed,Low,Email,Student Success,2018-03-12 09:54:00,2018-03-12 09:55:00,,0,1,General Course Announcements,UCT-HR-2018-02-19,37,15
2062893,Pending,Low,Email,Student Success,2018-03-14 14:39:00,,2018-03-15 04:54:00,1,1,,NA,431,15
2024982,Closed,Low,Email,Student Success,2018-03-07 20:32:00,2018-03-08 08:30:00,2018-03-07 21:19:00,1,1,,NA,2112,15
1975317,Closed,Low,Email,Student Success,2018-03-01 03:13:00,2018-03-01 08:32:00,2018-03-01 08:32:00,1,1,Coaching,HAR-CYB-2017-11-27,1234,15
2047069,Closed,Low,Email,Student Success,2018-03-12 09:35:00,2018-03-12 09:38:00,,0,1,Extension Request,UCT-SM-2018-02-22,3558,15
